N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
16384,512,2,7,11,8635957,42,5365761.84264,0.008635957,1897184.06426,971358240.899,1.02948629856,2.9140747227,7.77086592719
16384,512,2,7,12,8431106,42,5365761.84264,0.008431106,1943280.03942,994959380.181,1.00506615639,2.98487814054,7.95967504145
16384,2048,2,8,7,34767627,42,21978482.1873,0.034767627,471242.975542,965105613.909,1.03615602851,2.89531684173,7.72084491127
16384,2048,2,8,8,34070777,42,21978482.1873,0.034070777,480881.313625,984844930.305,1.01538828015,2.95453479091,7.87875944244
16384,2048,2,8,9,34464029,42,21978482.1873,0.034464029,475394.214646,973607351.595,1.02710810304,2.92082205479,7.78885881276
16384,2048,2,8,10,34345251,42,21978482.1873,0.034345251,477038.295629,976974429.449,1.02356824279,2.93092328835,7.81579543559
16384,2048,2,8,11,34746481,42,21978482.1873,0.034746481,471529.76441,965692957.511,1.0355258286,2.89707887253,7.72554366009
16384,2048,2,8,12,34568414,42,21978482.1873,0.034568414,473958.683786,970667384.393,1.03021901846,2.91200215318,7.76533907515
16384,1024,3,1,13,17244724,42,10771937.6728,0.017244724,950087.690589,972889795.163,1.02786564827,2.91866938549,7.7831183613
16384,1024,3,1,14,17193777,42,10771937.6728,0.017193777,952902.902021,975772571.669,1.02482897043,2.92731771501,7.80618057336
16384,1024,3,1,15,17060330,42,10771937.6728,0.01706033,960356.569891,983405127.568,1.0168749094,2.9502153827,7.86724102054
16384,1024,3,1,16,17779076,42,10771937.6728,0.017779076,921532.705074,943649489.996,1.05971550941,2.83094846999,7.54919591997
16384,1024,3,1,17,17292621,42,10771937.6728,0.017292621,947456.143288,970195090.727,1.03072053194,2.91058527218,7.76156072581
16384,1024,3,1,18,17109490,42,10771937.6728,0.01710949,957597.216516,980579549.712,1.01980507374,2.94173864914,7.8446363977
16384,4096,3,2,13,68960439,42,44120056.6544,0.068960439,237585.494489,973150185.427,1.02759061754,2.91945055628,7.78520148342
16384,4096,3,2,14,69683606,42,44120056.6544,0.069683606,235119.864492,963050964.957,1.03836664557,2.88915289487,7.70440771966
16384,4096,3,2,15,69092010,42,44120056.6544,0.06909201,237133.063577,971297028.412,1.02955117822,2.91389108524,7.77037622729
16384,4096,3,2,16,68904623,42,44120056.6544,0.068904623,237777.949964,973938483.054,1.02675889432,2.92181544916,7.79150786443
16384,4096,3,2,17,69442101,42,44120056.6544,0.069442101,235937.561855,966400253.356,1.03476794064,2.89920076007,7.73120202685
16384,4096,3,2,18,69950361,42,44120056.6544,0.069950361,234223.237247,959378379.763,1.04234160483,2.87813513929,7.6750270381
16384,64,3,3,13,976764,42,660083.659795,0.000976764,16773754.9705,1073520318.11,0.93151473999,3.22056095433,8.58816254489
16384,64,3,3,14,950102,42,660083.659795,0.000950102,17244464.2786,1103645713.83,0.906087875366,3.31093714149,8.82916571063
16384,64,3,3,15,917411,42,660083.659795,0.000917411,17858953.0756,1142972996.84,0.874911308289,3.42891899051,9.14378397469
16384,64,3,3,16,889586,42,660083.659795,0.000889586,18417556.0317,1178723586.03,0.848375320435,3.53617075808,9.42978868822
16384,64,3,3,17,883675,42,660083.659795,0.000883675,18540753.1049,1186608198.72,0.84273815155,3.55982459615,9.49286558972
16384,64,3,3,18,917717,42,660083.659795,0.000917717,17852998.2555,1142591888.35,0.875203132629,3.42777566505,9.14073510679
16384,32,3,4,13,592366,42,352736.719945,0.000592366,27658575.948,885074430.335,1.12984848022,2.65522329101,7.08059544268
16384,32,3,4,14,544625,42,352736.719945,0.000544625,30083084.6913,962658710.122,1.03878974915,2.88797613036,7.70126968097
16384,32,3,4,15,597029,42,352736.719945,0.000597029,27442553.0418,878161697.338,1.1387424469,2.63448509201,7.0252935787
16384,32,3,4,16,565779,42,352736.719945,0.000565779,28958303.5072,926665712.23,1.07913780212,2.77999713669,7.41332569784
16384,32,3,4,17,629866,42,352736.719945,0.000629866,26011881.8923,832380220.555,1.20137405396,2.49714066166,6.65904176444
16384,32,3,4,18,578543,42,352736.719945,0.000578543,28319416.1886,906221318.035,1.10348320007,2.71866395411,7.24977054428
16384,128,3,5,13,2582420,42,1284671.27128,0.00258242,6344436.61372,812087886.556,1.23139381409,2.43626365967,6.49670309245
16384,128,3,5,14,2089306,42,1284671.27128,0.002089306,7841838.39036,1003755313.97,0.996258735657,3.0112659419,8.03004251172
16384,128,3,5,15,1954258,42,1284671.27128,0.001954258,8383744.62328,1073119311.78,0.931862831116,3.21935793534,8.58495449424
16384,128,3,5,16,1957269,42,1284671.27128,0.001957269,8370847.33882,1071468459.37,0.933298587799,3.21440537811,8.57174767495
16384,128,3,5,17,1962936,42,1284671.27128,0.001962936,8346680.68648,1068375127.87,0.936000823975,3.20512538361,8.54700102296
16384,128,3,5,18,1963354,42,1284671.27128,0.001963354,8344903.66994,1068147669.75,0.936200141907,3.20444300926,8.54518135802
16384,2048,3,6,13,35306130,42,21978482.1873,0.03530613,464055.392081,950385442.981,1.05220466852,2.85115632894,7.60308354385
16384,2048,3,6,14,35841832,42,21978482.1873,0.035841832,457119.49099,936180717.548,1.06816983223,2.80854215264,7.48944574039
16384,2048,3,6,15,34450783,42,21978482.1873,0.034450783,475576.999222,973981694.407,1.02671334147,2.92194508322,7.79185355526
16384,2048,3,6,16,34245258,42,21978482.1873,0.034245258,478431.203526,979827104.821,1.02058821917,2.93948131446,7.83861683857
16384,2048,3,6,17,34598124,42,21978482.1873,0.034598124,473551.687369,969833855.732,1.03110444546,2.90950156719,7.75867084585
16384,2048,3,6,18,34425316,42,21978482.1873,0.034425316,475928.819361,974702222.051,1.02595436573,2.92410666615,7.79761777641
16384,256,3,7,13,4253294,42,2602783.10434,0.004253294,3852073.24018,986130749.485,1.01406431198,2.95839224845,7.88904599588
16384,256,3,7,14,4155308,42,2602783.10434,0.004155308,3942908.68451,1009384623.23,0.990702629089,3.0281538697,8.07507698587
16384,256,3,7,15,4127070,42,2602783.10434,0.00412707,3969886.62659,1016290976.41,0.983970165253,3.04887292922,8.13032781126
16384,256,3,7,16,4292452,42,2602783.10434,0.004292452,3816932.60635,977134747.226,1.0234003067,2.93140424168,7.81707797781
16384,256,3,7,17,4221370,42,2602783.10434,0.00422137,3881204.44311,993588337.435,1.00645303726,2.98076501231,7.94870669948
16384,256,3,7,18,4106847,42,2602783.10434,0.004106847,3989435.20418,1021295412.27,0.979148626328,3.06388623681,8.17036329817
16384,512,3,8,13,8517158,42,5365761.84264,0.008517158,1923646.36185,984906937.267,1.01532435417,2.9547208118,7.87925549814
16384,512,3,8,14,8913912,42,5365761.84264,0.008913912,1838025.77364,941069196.106,1.06262111664,2.82320758832,7.52855356885
16384,512,3,8,15,8562819,42,5365761.84264,0.008562819,1913388.56982,979654947.746,1.02076756954,2.93896484324,7.83723958196
16384,512,3,8,16,8579695,42,5365761.84264,0.008579695,1909624.9925,977727996.158,1.02277934551,2.93318398848,7.82182396927
16384,512,3,8,17,8570060,42,5365761.84264,0.00857006,1911771.91292,978827219.413,1.02163076401,2.93648165824,7.8306177553
16384,512,3,8,18,8564197,42,5365761.84264,0.008564197,1913080.70097,979497318.896,1.02093183994,2.93849195669,7.83597855117
16384,2048,4,1,19,34357345,42,21978482.1873,0.034357345,476870.37517,976630528.348,1.02392867208,2.92989158505,7.81304422679
16384,2048,4,1,20,34832126,42,21978482.1873,0.034832126,470370.370158,963318518.083,1.0380782485,2.88995555425,7.70654814466
16384,2048,4,1,21,35062862,42,21978482.1873,0.035062862,467275.033053,956979267.694,1.04495471716,2.87093780308,7.65583414155
16384,2048,4,1,22,35439731,42,21978482.1873,0.035439731,462305.992108,946802671.837,1.0561862886,2.84040801551,7.5744213747
16384,2048,4,1,23,34982063,42,21978482.1873,0.034982063,468354.310608,959189628.125,1.04254671931,2.87756888437,7.673517025
16384,2048,4,1,24,34853715,42,21978482.1873,0.034853715,470079.014533,962721821.763,1.03872165084,2.88816546529,7.7017745741
16384,1024,4,2,19,17175149,42,10771937.6728,0.017175149,953936.411265,976830885.135,1.02371865511,2.93049265541,7.81464708108
16384,1024,4,2,20,17076203,42,10771937.6728,0.017076203,959463.880817,982491013.957,1.01782101393,2.94747304187,7.85992811165
16384,1024,4,2,21,17192717,42,10771937.6728,0.017192717,952961.652309,975832731.964,1.02476578951,2.92749819589,7.80666185571
16384,1024,4,2,22,17190513,42,10771937.6728,0.017190513,953083.831762,975957843.725,1.02463442087,2.92787353117,7.8076627498
16384,1024,4,2,23,17278799,42,10771937.6728,0.017278799,948214.05122,970971188.449,1.02989667654,2.91291356535,7.76776950759
16384,1024,4,2,24,17167143,42,10771937.6728,0.017167143,954381.285226,977286436.072,1.02324146032,2.93185930821,7.81829148857
16384,128,4,3,19,1953433,42,1284671.27128,0.001953433,8387285.35865,1073572525.91,0.93146944046,3.22071757772,8.58858020726
16384,128,4,3,20,2106989,42,1284671.27128,0.002106989,7776025.40877,995331252.323,1.00469064713,2.98599375697,7.96265001858
16384,128,4,3,21,1968287,42,1284671.27128,0.001968287,8323989.33692,1065470635.13,0.938552379608,3.19641190538,8.52376508101
16384,128,4,3,22,1968715,42,1284671.27128,0.001968715,8322179.69589,1065239001.07,0.938756465912,3.19571700322,8.52191200859
16384,128,4,3,23,2020317,42,1284671.27128,0.002020317,8109618.44107,1038031160.46,0.963362216949,3.11409348137,8.30424928365
16384,128,4,3,24,1962338,42,1284671.27128,0.001962338,8349224.2417,1068700702.94,0.935715675354,3.20610210881,8.5496056235
16384,4096,4,4,19,69454196,42,44120056.6544,0.069454196,235896.474851,966231960.989,1.03494817019,2.89869588297,7.72985568791
16384,4096,4,4,20,69028071,42,44120056.6544,0.069028071,237352.714086,972196716.898,1.02859841287,2.91659015069,7.77757373518
16384,4096,4,4,21,69040774,42,44120056.6544,0.069040774,237309.042914,972017839.777,1.02878770232,2.91605351933,7.77614271821
16384,4096,4,4,22,69419383,42,44120056.6544,0.069419383,236014.774145,966716514.896,1.03442941606,2.90014954469,7.73373211917
16384,4096,4,4,23,69139934,42,44120056.6544,0.069139934,236968.695978,970623778.727,1.03026530147,2.91187133618,7.76499022981
16384,4096,4,4,24,69245751,42,44120056.6544,0.069245751,236606.575326,969140532.536,1.03184209764,2.90742159761,7.75312426029
16384,512,4,5,19,8450778,42,5365761.84264,0.008450778,1938756.40799,992643280.891,1.00741124153,2.97792984267,7.94114624713
16384,512,4,5,20,8736716,42,5365761.84264,0.008736716,1875304.17608,960155738.151,1.04149770737,2.88046721445,7.68124590521
16384,512,4,5,21,8953256,42,5365761.84264,0.008953256,1829948.79181,936933781.409,1.06731128693,2.81080134423,7.49547025127
16384,512,4,5,22,8577544,42,5365761.84264,0.008577544,1910103.87122,977973182.067,1.02252292633,2.9339195462,7.82378545654
16384,512,4,5,23,8546046,42,5365761.84264,0.008546046,1917143.90491,981577679.315,1.01876807213,2.94473303795,7.85262143452
16384,512,4,5,24,8637784,42,5365761.84264,0.008637784,1896782.78596,971152786.409,1.02970409393,2.91345835923,7.76922229127
16384,32,4,6,19,409229,42,352736.719945,0.000409229,40036263.3147,1281160426.07,0.780542373657,3.84348127821,10.2492834086
16384,32,4,6,20,536211,42,352736.719945,0.000536211,30555135.9446,977764350.228,1.02274131775,2.93329305068,7.82211480182
16384,32,4,6,21,422955,42,352736.719945,0.000422955,38736981.4756,1239583407.22,0.806722640991,3.71875022165,9.91666725775
16384,32,4,6,22,412244,42,352736.719945,0.000412244,39743452.9065,1271790493.01,0.786293029785,3.81537147903,10.1743239441
16384,32,4,6,23,448891,42,352736.719945,0.000448891,36498838.248,1167962823.94,0.856191635132,3.50388847181,9.3437025915
16384,32,4,6,24,413186,42,352736.719945,0.000413186,39652843.9976,1268891007.92,0.788089752197,3.80667302377,10.1511280634
16384,256,4,7,19,4279857,42,2602783.10434,0.004279857,3828165.28683,980010313.429,1.0203974247,2.94003094029,7.84008250743
16384,256,4,7,20,4135326,42,2602783.10434,0.004135326,3961960.91916,1014261995.31,0.985938549042,3.04278598592,8.11409596245
16384,256,4,7,21,4205118,42,2602783.10434,0.004205118,3896204.57737,997428371.808,1.00257825851,2.99228511542,7.97942697446
16384,256,4,7,22,4256226,42,2602783.10434,0.004256226,3849419.65018,985451430.446,1.01476335526,2.95635429134,7.88361144357
16384,256,4,7,23,4163703,42,2602783.10434,0.004163703,3934958.85754,1007349467.53,0.992704153061,3.02204840259,8.05879574023
16384,256,4,7,24,4263563,42,2602783.10434,0.004263563,3842795.33339,983755605.347,1.01651263237,2.95126681604,7.87004484278
16384,64,4,8,19,892610,42,660083.659795,0.00089261,18355160.7085,1174730285.34,0.851259231567,3.52419085603,9.39784228274
16384,64,4,8,20,891637,42,660083.659795,0.000891637,18375190.8007,1176012211.25,0.850331306458,3.52803663374,9.40809768998
16384,64,4,8,21,871613,42,660083.659795,0.000871613,18797333.2201,1203029326.09,0.831234931946,3.60908797827,9.62423460871
16384,64,4,8,22,867433,42,660083.659795,0.000867433,18887914.1098,1208826503.03,0.827248573303,3.62647950908,9.67061202421
16384,64,4,8,23,874956,42,660083.659795,0.000874956,18725513.0544,1198432835.48,0.834423065186,3.59529850644,9.58746268384
16384,64,4,8,24,869863,42,660083.659795,0.000869863,18835149.9029,1205449593.79,0.829566001892,3.61634878136,9.64359675029
